pt,pref_question_pre,pref_slider_pre_1,winning_party,winning_party.1,winning_scale_1,winning_scale_1.1,justification,bias_rating_1,bias_rating_1.1,bias.justification,bias_control_1,bias_control_1.1,age,education,survey_about,comments,Order,chosen_winner,Position,Level,Slant,ChartType
20,Graphical chart,-11,,Blue,NA,-9,They received half or nearly half of votes two of last three years ,NA,11,Shows steady increase of green votes,NA,NA,35 - 44,Doctorate,Preferences related to information processing ,,BlueLeft,Blue,Annotation,Control,Blue,Bar
21,Text,19,Green,,-14,NA,"the trend has been upward for green the last 3 years, and is on pace to either tie or overtake blue if the trend continues.",-14,NA,"Most people dont like to publish information detrimental to their own beliefs of personal being. It is showing an up trend, which could be their way of saying the future is ""ours""",-13,NA,35 - 44,Professional degree,,,GreenLeft,Green,Title,3,Green,Bar
22,Graphical chart,-19,Green,,-13,NA,The green is increasing steadily each year.,0,NA,They don't seem to be taking sides.,0,NA,35 - 44,Some college,,,GreenLeft,Green,Title,4,Blue,Bar
23,Text,14,Blue,,13,NA,"Green would need 100% participation to win. While they are increasing, I don't believe all parties would be on board",-13,NA,That's the only way I can rationalize addressing the increase in participation,0,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Title,4,Green,Bar
24,Text,14,Blue,,20,NA,Blue has won every year,0,NA,not enough information,0,NA,25 - 34,Some college,,,GreenLeft,Blue,Annotation,2,Blue,Bar
25,Graphical chart,-13,,Blue,NA,-13,Blue has been consistent in the past three years,NA,1,This appears to be a neutral representation.,NA,1,45 - 54,4 year degree,,,BlueLeft,Blue,Annotation,3,Green,Bar
26,Graphical chart,-15,Green,,-13,NA,"It does seem like votes for green are progressively growing for green over the years, even though blue still holds the majority, but that doesn't mean green doesn't stand a chance of winning next",-18,NA,It does seem like the chart is biased toward green based on the title of the plot,0,NA,18 - 24,4 year degree,To understand how people intake and process information,,GreenLeft,Green,Title,2,Green,Bar
27,Graphical chart,-13,Blue,,13,NA,Blue seems to be increasing more in comparison to Green over the previous years.,0,NA,This chart seems to capture a neutral view on both parties despite one winning over the other.,0,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Title,4,Green,Bar
28,Graphical chart,-4,Green,,0,NA,I see that the green party is growing so it is hard to say which group will win. There is an equal chance ,0,NA,They are simply stating data and facts. It's hard to tell which party the author of the visualizer is because they are responsible for submitting factual information. ,NA,NA,25 - 34,Professional degree,,,GreenLeft,Green,Title,Control,None,Bar
29,Graphical chart,-1,Blue,,1,NA,green is getting closer each year to a win,2,NA,its not specifying one color over the other ,1,NA,55 - 64,2 year degree,,,GreenLeft,Blue,Title,4,Blue,Bar
30,Graphical chart,-13,,Green,NA,13,"The rate of votes for green hasn't only increased every year, the amount it has grown has also increased. I think there is a good chance green votes will surpass blue this year if the increase in votes continues as it has. ",NA,0,"I don't necessarily think it was a neutral party, I just have no way of guessing since this is (presumably) just factual information and not opinion. ",NA,1,25 - 34,Some college,I'm not sure. Perhaps simply whether people prefer charts or written information. Maybe how people opinions change or how they perceive bias. ,,BlueLeft,Green,Annotation,3,Green,Bar
32,Graphical chart,-15,Green,,-1,NA,green is on trend to rise faster than blue,18,NA,chart includes relatively positive comment about blue party students,0,NA,18 - 24,High school graduate,reading charts,,GreenLeft,Green,Annotation,4,Blue,Bar
33,Graphical chart,-13,Blue,,13,NA,"The blue party has won for the past three years. The gap between blue and green is narrowing, but blue might still win in Year 4. ",-13,NA,The chart points out that the green party has a greater percentage of votes in Year 3 compared to Years 1 and 2. ,0,NA,25 - 34,Professional degree,,,GreenLeft,Blue,Annotation,2,Green,Bar
34,Graphical chart,-11,,Green,NA,10,Green seems to be gaining popularity at a higher rate,NA,5,Seems to favour the growth of the green side ,NA,5,25 - 34,High school graduate,If people learn better from text or visually. ,kind of confusing how some of the questions are worded.,BlueLeft,Green,Title,3,Green,Bar
35,Graphical chart,-16,,Blue,NA,-25,Blue has won in every other election in the past.,NA,0,It isn't biased towards either party.,NA,NA,25 - 34,Some college,,,BlueLeft,Blue,Annotation,Control,Blue,Bar
36,Graphical chart,-13,,Green,NA,15,"Green is consistently rising up, blue blue remains relatively stable.",NA,-13,"The results make it look like blue is consistently rising, and no other parties who receive votes are shown.",NA,-5,25 - 34,4 year degree,,,BlueLeft,Green,Title,2,Blue,Bar
37,Graphical chart,-7,,Green,NA,16,"Green party has significantly increased the three previous years.  Although the blue party has increased in year three as well.  I believe the green party will edge them out in year four, by a small margin.",NA,1,"Didn't really show no particular ""favoritism"" towards any party.  Just showing the data per year specific outcomes. ",NA,1,45 - 54,4 year degree,Whether or not I prefer a graphical chart of information over receiving text pertaining to a particular percentage's,"I found it quite interesting, and engaging.  Would love to see more such as this one.",BlueLeft,Green,Title,3,Green,Bar
38,Graphical chart,-6,,Blue,NA,0,"Blue has the most consistency, but green has been coming on strong. It will be a very close election, either could win. But Blue has held between 40% and 50% each election, so they have the best chanced of winning. ",NA,12,"By looking at the chart it benefits the green team. You can see the constant upward trend and would assume that the trend will continue. That would mean green wins. An independent voter seeing this might say it seems inevitable so why not join the trend, hence the bandwagon effect.",NA,NA,55 - 64,4 year degree,,,BlueLeft,Blue,Title,Control,None,Bar
39,Graphical chart,-25,,Green,NA,17,I can see that there is a steady increase in Green voting percentages. ,NA,4,"I'm not too sure if I'm being honest. I think the increase of green is letting me know that author is hoping green will be the winner in year 4.
",NA,NA,18 - 24,High school graduate,,,BlueLeft,Green,Title,Control,None,Bar
40,Graphical chart,-15,Blue,,23,NA,The trend shows blue winning,0,NA,I can't tell if there is any bias,1,NA,18 - 24,2 year degree,,,GreenLeft,Blue,Annotation,3,Blue,Bar
41,Graphical chart,-25,Green,,-4,NA,"Green is trending up, where blue is not consistent, so hard to determine the outcome. ",12,NA,"The title talks about Blue party not ""two party"" or something not BIASED",0,NA,35 - 44,Doctorate,Seeing if opinion of graph vs text changed after analyzing the two,It was interesting,GreenLeft,Green,Title,4,Blue,Bar
42,Graphical chart,-7,,Green,NA,13,The average voter percentage for green has been increasing steadily while blue has been up and down.,NA,0,The chart doesn't seem to favor one party over another,NA,NA,35 - 44,4 year degree,Impartiality in charts and graphs/reporting,,BlueLeft,Green,Title,Control,None,Bar
43,Graphical chart,-13,Green,,-13,NA,"It appears that green is showing a positive, upward trend so it's possible that green wins over blue.",0,NA,There is no info to state otherwise.,0,NA,18 - 24,4 year degree,,,GreenLeft,Green,Annotation,3,Blue,Bar
44,Text,13,,Blue,NA,-18,Blue will win with a smaller margin than it has previously because of the visual trend,NA,12,The tidbit of green being greater in year three than it was in the previous years,NA,0,18 - 24,4 year degree,,,BlueLeft,Blue,Annotation,2,Green,Bar
45,Graphical chart,-8,,Blue,NA,-9,"Blue's victory will be narrow, I think green has maxed out. in year 1 blue and green accounted for approximately 85% of the vote. In year 3, they accounted for approximately 95%. Unless blue loses a lot of votes, green does not have enough votes to overtake blue.",NA,0,No idea.  I don't see a bias.,NA,0,65 - 74,Professional degree,,,BlueLeft,Blue,Annotation,2,Green,Bar
46,Graphical chart,-25,Green,,-2,NA,"It seems like opposition to blue is growing. Why is not clear. It seems like Blues votes are roughly constant, while Green is finding new voters. If they can continue this trend Green may win.",-15,NA,The annotation pointing out that green votes have increased leads me to believe a Green party member made the plot.,0,NA,25 - 34,Doctorate,charts v text,,GreenLeft,Green,Annotation,3,Green,Bar
47,Graphical chart,-15,,Blue,NA,-3,the trends from previous year suggest that it will be close but blue is likely to win,NA,0,the graphs do not suggest that the author is affiliated with either,NA,-1,18 - 24,Some college,Preference between graphs and text and what information was acquired from looking at them,,BlueLeft,Blue,Title,2,Blue,Bar
48,Graphical chart,-5,Blue,,1,NA,"Blue has been ahead every time so far, but green has been catching up.",0,NA,"No favor is expressed for either blue or green, only facts are presented.",NA,NA,25 - 34,Some college,Are charts a good way to convey information? Do they offer an impartial way of sharing facts?,,GreenLeft,Blue,Title,Control,None,Bar
49,Graphical chart,-10,,Blue,NA,-20,"Green is trending upwards, but for the next one only, I think Blue still wins",NA,12,Spoke only about students voting for the green party,NA,0,18 - 24,Some college,,,BlueLeft,Blue,Title,4,Green,Bar
50,Text,13,Blue,,19,NA,Blue has won the past 3 years.,0,NA,"I don't know who wrote it, but I would assume for an election they would want a non-biased subject count votes. ",NA,NA,18 - 24,Some college,,,GreenLeft,Blue,Annotation,Control,Green,Bar
51,Text,17,Green,,-9,NA,Green has been increasing steadily ,1,NA,No indicator of either affiliate ,0,NA,35 - 44,2 year degree,,,GreenLeft,Green,Title,2,Green,Bar
52,Graphical chart,-7,Blue,,18,NA,Blue has won every year previously,13,NA,The chart shows blue winning so it would be beneficial to them.,NA,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Annotation,Control,Blue,Bar
53,Graphical chart,0,,Green,NA,22,Looking at the consistent increase in votes from year one to three.,NA,-12,Based on the title.,NA,0,55 - 64,4 year degree,Preferences and ways of thinking.,Thank you,BlueLeft,Green,Title,4,Blue,Bar
54,Text,13,Green,,-13,NA,The percentage of votes for Green are increasing consistently each year. It's likely that next year will see the Green party overtake the Blue party in votes.,0,NA,"I see nothing in particular that would suggest a bias between one party and another, so I can assume the author is neutral.",0,NA,25 - 34,4 year degree,,,GreenLeft,Green,Title,4,Green,Bar
55,Graphical chart,-13,,Blue,NA,-23,It seems they have been gaining more traction and maintaining loyalty with the electorate over the years ,NA,-13,It might be biased against blue because it shows them winning every year ,NA,3,25 - 34,Professional degree,How i prefer to receive information ,,BlueLeft,Blue,Annotation,4,Blue,Bar
56,Graphical chart,-25,,Blue,NA,-14,they are more popular,NA,0,it only contains data,NA,-3,25 - 34,Professional degree,,,BlueLeft,Blue,Annotation,3,Blue,Bar
57,Graphical chart,-14,,Blue,NA,-21,Blue has won every year so far.,NA,0,I can't tell if one of the parties made it.,NA,NA,25 - 34,Professional degree,,,BlueLeft,Blue,Annotation,Control,Green,Bar
58,Text,6,,Blue,NA,-12,"Blue has showed a consistent ability to gain a higher percentage of the vote than green. Three data points of green votes increasing each year is not enough to project with any kind of confidence that they will outstrip blue in year four; anyway, it's a pretty big assumption to link previous years' data to this year.",NA,17,"""Year after year, votes for Green have increased."" This isn't an untrue statement, but ""year after year"" and singling this point out (amid a myriad of other possible interpretations) seems like something the Greens would do.",NA,1,25 - 34,4 year degree,,,BlueLeft,Blue,Annotation,3,Green,Bar
60,Graphical chart,-25,Blue,,15,NA,They won the previous years,7,NA,I mean its not really easy to tell but since its in favor of blue I went with that.,NA,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Title,Control,None,Bar
61,Graphical chart,-6,Blue,,22,NA,They are ahead all of the previous 3 years,0,NA,Probably just made by the school in general,0,NA,45 - 54,High school graduate,Best way to display information,None,GreenLeft,Blue,Title,2,Blue,Bar
62,Graphical chart,-20,,Green,NA,10,The support for the green party has been increasing year over year.,NA,9,Shows a possible bias towards green students,NA,3,25 - 34,4 year degree,Easy to complete ,Relevant information,BlueLeft,Green,Annotation,4,Green,Bar
63,Graphical chart,-13,,Blue,NA,-20,Based on the trend in the years prior.,NA,13,The author highlights how the Green have received more votes each year.,NA,0,25 - 34,Professional degree,,,BlueLeft,Blue,Annotation,2,Green,Bar
64,Text,0,,Blue,NA,-6,Blue has a history of winning by a few points,NA,-3,It seems pretty fair,NA,1,18 - 24,4 year degree,,,BlueLeft,Blue,Title,3,Blue,Bar
65,Text,5,Green,,-8,NA,Graphic trends in an upward direction for green paired with blue stagnation,0,NA,Neutral blue is first which makes me think them but the chart favors green so hard to say ,0,NA,25 - 34,4 year degree,,,GreenLeft,Green,Title,2,Blue,Bar
66,Graphical chart,-22,,Blue,NA,0,"looking at the past years, blue may have won but the green party slowly started to get more votes to the point that year 3 it almost became a tie. ",NA,1,there was no other information about how much the blue team was wining or the green team was winning. it was just standard to the point showing that blue team was gaining votes but the green team was slowing gaining votes as well ,NA,1,18 - 24,4 year degree,,,BlueLeft,Blue,Title,3,Blue,Bar
67,Graphical chart,-24,Blue,,12,NA,Blue has won every other year,0,NA,It is a factual chart that does not include bias,NA,NA,18 - 24,4 year degree,,,GreenLeft,Blue,Annotation,Control,Blue,Bar
68,Graphical chart,-18,,Green,NA,9,The amount of green voters were increasing every year,NA,17,"The title only mentions the green party, making it more likely to focus on that party.",NA,0,18 - 24,Some college,,,BlueLeft,Green,Title,2,Green,Bar
69,Graphical chart,-18,Blue,,14,NA,Blue has been dominant for the past few years,0,NA,I think it's objective data and it's too hard to determine the author ,0,NA,35 - 44,4 year degree,,,GreenLeft,Blue,Annotation,4,Green,Bar
70,Graphical chart,-15,,Green,NA,5,"Green's increased involvement is closing the gap in votes, with the next election possibly allowing them to surpass their votes",NA,-3,More were for the blue party than any other.,NA,-5,18 - 24,Professional degree,,,BlueLeft,Green,Annotation,4,Green,Bar
71,Graphical chart,-15,Green,,-15,NA,They are trending upwards whereas blue seemingly has a steady popularity that waxes and wanes each year.  If these trends are correct for year 4 then green should come out on top.,-15,NA,There is a positive note about the Green Party whereas there is nothing positive noted about the Blue Party.  The data can show itself without the positive comment for one side.,0,NA,35 - 44,Some college,How people like to take in information whether via text or graphical charts.,,GreenLeft,Green,Annotation,4,Green,Bar
72,Text,11,Green,,-12,NA,It seems that the trend in the last couple years is that blue's lead has been shrinking more and more by year.,-1,NA,"I think the chart could be used to benefit either party, as it is pretty objective.",2,NA,45 - 54,Professional degree,"How effectively people can receive and retain information, based on the presentation methods.",,GreenLeft,Green,Title,3,Blue,Bar
73,Text,13,Blue,,13,NA,Blue has consistently won for the last 3 years. ,13,NA,Blue wants to show it has a good chance of winning again,NA,NA,25 - 34,Professional degree,,,GreenLeft,Blue,Title,Control,None,Bar
74,Graphical chart,-16,Green,,-8,NA,green has been increasing their share.,8,NA,They are saying that blue has a greater vote share though green keeps increasing.,0,NA,35 - 44,4 year degree,,,GreenLeft,Green,Title,2,Blue,Bar
75,Graphical chart,-5,Blue,,5,NA,green is steadily climbing but I don't think year 4 will be enough to overtake blue,0,NA,I didn't notice anything that was biased on the chart,NA,NA,25 - 34,2 year degree,,,GreenLeft,Blue,Title,Control,None,Bar
76,Graphical chart,-15,Blue,,15,NA,I think blue is most likely to win bot not certain to win because blue always wins but in year 2 and 3 green was closer to blue than in year 1. It's possible green would win but somewhat unlikely because they have never one.,0,NA,There is nothing on the chart that makes me believe either side made the chat. The statement at the top is a simple fact relating to the chart so it does not seem bias. ,0,NA,25 - 34,Some college,Understanding information in charts and text,,GreenLeft,Blue,Title,3,Blue,Bar
77,Graphical chart,-5,,Blue,NA,-14,The graph that Blue has won every year therefore I believe there is a higher chance that Blue will win again.,NA,-1,The information does not seem manipulated in favor of one group over another.,NA,0,35 - 44,4 year degree,To survey how people prefer to receive information.,I do not have any additional comments. Thank you.,BlueLeft,Blue,Title,4,Green,Bar
78,Graphical chart,-15,,Blue,NA,-10,Blue has won for the past three years.,NA,0,I have no reason to choose otherwise.,NA,0,35 - 44,4 year degree,,,BlueLeft,Blue,Annotation,2,Blue,Bar
79,Graphical chart,-15,,Blue,NA,-10,"Even though green is increasing, I don't think it will be by enough. ",NA,15,They focus on the green party. ,NA,0,25 - 34,Professional degree,If people prefer charts or text,,BlueLeft,Blue,Annotation,3,Green,Bar
80,Graphical chart,-17,Green,,-14,NA,They are gaining in popularity and may surpass blue.,-14,NA,Because there's a note mentioning Green Party students being more involved in clubs on campus (thus explaining the positive increase - seems like a motivation tool for the Green Party).,0,NA,45 - 54,4 year degree,,,GreenLeft,Green,Annotation,4,Green,Bar
81,Graphical chart,-10,Green,,-13,NA,"In terms of trends, and lack of external knowledge to assume off of, Green has been gaining popularity. Blue has at times received less than 50% of the votes, and has on average not gained any growth of popularity. The likelihood of Green winning is high, but not necessarily guaranteed of course.",5,NA,Emphasizing the note that blue wins every year is a biased statement.,0,NA,25 - 34,2 year degree,Efficiency of information presentation.,,GreenLeft,Green,Annotation,3,Blue,Bar
82,Graphical chart,-6,,Blue,NA,-22,The pattern over years tends to lean toward the blue. Statistically t makes sense that they would win again.,NA,-2,"I have no idea who made it. There's a possibility of bias, of course, but no outward sign of it, so I choose the assume the best.",NA,NA,45 - 54,4 year degree,To see how people prefer to receive information.,,BlueLeft,Blue,Title,Control,None,Bar
83,Graphical chart,-20,Green,,-17,NA,It seems like green is on an upward trend of increasing in popularity of votes over time and I think that might be important to people than blue who has been fairly stable in their likeness. ,13,NA,I'm guessing by the extra edit of text specifically saying that blue has received greater votes for the past 3 years than green. ,-23,NA,18 - 24,Some college,,,GreenLeft,Green,Annotation,2,Blue,Bar
84,Graphical chart,0,,Blue,NA,-15,Green has been making gains each year but they have yet to beat blue so I'll still predict blue wins.,NA,0,"I don't see anything indicating that one party made the chart over the other. There isn't any obvious bias that I can ascertain, unless the data is completely inaccurate or something.",NA,NA,25 - 34,Professional degree,,,BlueLeft,Blue,Title,Control,None,Bar
85,Graphical chart,-17,,Blue,NA,-25,"they have won consecutively, even then it was close.",NA,-14,because blue always won even if it was by a little,NA,-13,18 - 24,2 year degree,extracting information from texts versus graphs,,BlueLeft,Blue,Title,4,Blue,Bar
86,Graphical chart,-12,Green,,-5,NA,"There is a trend showing that the green party has been receiving a larger percentage of voters each year, closing the gap between the blue and green parties.",-10,NA,The author is likely part of the green party because someone who would want votes for the green party would outline how successful the green party is achieving over the past few years to show their good chances of winning Year 4.,-5,NA,18 - 24,Some college,,,GreenLeft,Green,Title,2,Green,Bar
87,Text,7,Green,,-5,NA,green has been steadily increasing each year so there is a small chance they will win (or tie),0,NA,"why would they have a student make this chart? makes no sense, more likely a teacher",NA,NA,35 - 44,Some college,I have no idea,"I thought I preferred texts a lot over graphs, turns out I only prefer text if it's simple and short",GreenLeft,Green,Annotation,Control,Blue,Bar
88,Graphical chart,-6,,Green,NA,6,"Green has been growing year over year, but it's still a pretty close thing -- blue's results have remained consistently pretty close to 50%.",NA,2,There doesn't appear to be strong bias in the chart (although I guess that depends on the effects of the non-represented parties).,NA,NA,35 - 44,4 year degree,How well people understand information presented in text versus graphical formats,Good luck with your research!,BlueLeft,Green,Annotation,Control,Green,Bar
89,Text,0,Blue,,12,NA,Blue has always won the first 3 years. ,12,NA,Blue team would more likely create a chart showing that they have received more votes. ,0,NA,18 - 24,2 year degree,,,GreenLeft,Blue,Title,3,Blue,Bar
90,Graphical chart,-19,,Blue,NA,-2,"It's closer to a tie, but lean towards blue due to how historically they won, but green also shows growth in voting",NA,0,Seems pretty non-bias,NA,0,18 - 24,High school graduate,,,BlueLeft,Blue,Annotation,2,Green,Bar
91,Graphical chart,-10,Blue,,6,NA,"Blue has consistently won in the past, but green is closing the gap and could overtake this year.",5,NA,"In addition to the neutral data, there is unnecessary text in the chart indicating blue's consistent success.",0,NA,35 - 44,Professional degree,,,GreenLeft,Blue,Annotation,3,Blue,Bar
92,Text,21,,Blue,NA,-6,"Historically, blue wins. But green is catching up each year.",NA,0,There's nothing biased.,NA,0,25 - 34,4 year degree,"How clear charts are, and whether they are preferable.",,BlueLeft,Blue,Annotation,2,Blue,Bar
93,Text,4,,Blue,NA,-25,blue has always won in the past,NA,-12,it discludes other parties and makes blue look best,NA,NA,18 - 24,Some college,,,BlueLeft,Blue,Title,Control,None,Bar
94,Graphical chart,-1,Green,,-19,NA,The year over year growth for the Green Party is consistent. The blue part as lost or stayed flat each year. I believe the Green Party will continue its growth and become more popular. ,0,NA,"I have no data to determine who built this graph. Unable to determine if it was neutral, blue, or green. ",0,NA,25 - 34,2 year degree,,,GreenLeft,Green,Title,4,Green,Bar
95,Text,13,Blue,,19,NA,"Although the margin has closed over the last three elections, the blue team has won each previous year. I expect green may gain, even equal but doubt the likelihood of a win.",1,NA,It really does not matter who presents the information as long as it is accurate.,0,NA,65 - 74,Some college,,,GreenLeft,Blue,Title,4,Blue,Bar
96,Text,6,Blue,,25,NA,Blue likely wins,0,NA,I am not sure,0,NA,25 - 34,2 year degree,,,GreenLeft,Blue,Title,4,Green,Bar
97,Graphical chart,-11,,Blue,NA,-4,"I think it will be very close, but Blue will still win",NA,25,It emphasizes green's increased votes,NA,0,25 - 34,4 year degree,,,BlueLeft,Blue,Annotation,2,Green,Bar
98,Graphical chart,-10,,Blue,NA,-15,"It looks to me like Blue will win by a hair in Year 4. However, I would also guess that Green would win in Year 5, given the rate the votes have been increasing.",NA,10,"Possibly Green, since it shows Green in an encouraging light. But also because there's added text that state that votes for Green has increased, which is not necessary to add.",NA,2,45 - 54,4 year degree,"I'm honestly not certain, but good luck with your study!",,BlueLeft,Blue,Annotation,3,Green,Bar
99,Text,5,,Blue,NA,-9,Blue has won every year prior to this upcoming year,NA,13,The text saying that year after year votes for green have increased,NA,-1,18 - 24,Some college,,,BlueLeft,Blue,Annotation,3,Green,Bar
100,Graphical chart,-3,,Blue,NA,-4,"Blue has steadily kept a lead, but Green has closed the gap more and more every year.",NA,3,The results look more beneficial for Green in the long term.,NA,5,18 - 24,Some college,,,BlueLeft,Blue,Annotation,3,Green,Bar
101,Graphical chart,-25,Blue,,20,NA,They have won in the other years,13,NA,I am assuming it is biased,21,NA,55 - 64,4 year degree,,,GreenLeft,Blue,Annotation,2,Blue,Bar
102,Text,13,Blue,,18,NA,Blue has beaten green in the past three years.,0,NA,It should be a factual graph based on actual results and not bias.,0,NA,45 - 54,4 year degree,,,GreenLeft,Blue,Annotation,2,Blue,Bar
103,Graphical chart,-13,,Green,NA,13,over the years green is slowly overtaking blue,NA,0,its voting results so it supposed to be neutral,NA,NA,18 - 24,High school graduate,charts vs texts,"i think texts, especially when lengthy, is difficult for those with learning disorders or are neurodivergent to easily understand",BlueLeft,Green,Title,Control,None,Bar
104,Text,12,,Blue,NA,-19,lead past years,NA,1,can't be  sure,NA,NA,65 - 74,High school graduate,,,BlueLeft,Blue,Title,Control,None,Bar
105,Graphical chart,-20,,Green,NA,13,Each year the green party has been closing the gap with the blue party.  At the end of year three the gap was the smallest of the cycle.,NA,1,There is nothing on the chart to indicate bias.,NA,1,65 - 74,4 year degree,,,BlueLeft,Green,Annotation,3,Blue,Bar
106,Text,13,Blue,,19,NA,chart shows higher numbers for blue.,1,NA,no idea who but I would think the chart is neutral,13,NA,65 - 74,High school graduate,how people understand and use charts vs text,,GreenLeft,Blue,Title,4,Blue,Bar
107,Text,12,Blue,,18,NA,"Blue has always won in the past 3 years, so in the absence of any other evidence I can only assume Blue will win again.",0,NA,"The data portrays both parties impartially, so I have no reason to think it was member by a member of either party.",0,NA,25 - 34,2 year degree,,,GreenLeft,Blue,Title,4,Blue,Bar
108,Graphical chart,-20,Green,,-13,NA,"Blue has remained mostly the same, but green has a definite upward trend.",-13,NA,Just because of the comment about the green party being increasingly involved,0,NA,25 - 34,Some college,How people perceive charts versus data from text,,GreenLeft,Green,Annotation,4,Green,Bar
109,Graphical chart,-5,,Blue,NA,-3,"Blue has won each election for the last 3 years, but green has been gaining more votes each year, so it's possible for green to win in Year 4.",NA,5,The text in the top right corner highlighting the Green Party has had greater votes in Year 3 than Years 1 and 2. ,NA,0,35 - 44,4 year degree,,,BlueLeft,Blue,Annotation,2,Green,Bar
